dataset,kernel_name,alpha,val_rmse,val_r2,val_accuracy,num_params,model_type
breast,RBF,1e-06,,,0.9647058823529412,,gp
breast,Matern25,1e-06,,,0.9764705882352941,,gp
breast,DotProduct,1e-06,,,0.9882352941176471,,gp
breast,RBF_plus_DotProduct,1e-06,,,0.9882352941176471,,gp
breast,RBF_ARD,1e-06,,,0.9882352941176471,,gp
breast,Matern25_ARD,1e-06,,,0.9882352941176471,,gp
breast,RBF_ARD_plus_DotProduct,1e-06,,,0.9529411764705882,,gp
breast,RBF_WhiteKernel,1e-06,,,0.9647058823529412,,gp
breast,Matern25_WhiteKernel,1e-06,,,0.9764705882352941,,gp
breast,DotProduct_WhiteKernel,1e-06,,,0.9882352941176471,,gp
breast,RBF_plus_DotProduct_WhiteKernel,1e-06,,,0.9882352941176471,,gp
breast,RBF_ARD_WhiteKernel,1e-06,,,0.9882352941176471,,gp
breast,Matern25_ARD_WhiteKernel,1e-06,,,0.9882352941176471,,gp
breast,RBF_ARD_plus_DotProduct_WhiteKernel,1e-06,,,0.9529411764705882,,gp
