Dataset,Mean_Train_Accuracy,SEM_Train_Accuracy,Mean_Test_Accuracy,SEM_Test_Accuracy,Mean_Train_RMSE,SEM_Train_RMSE,Mean_Test_RMSE,SEM_Test_RMSE,Mean_Train_R2,SEM_Train_R2,Mean_Test_R2,SEM_Test_R2
abalone,NaN,NaN,NaN,NaN,2.1571,0.0135,2.1202,0.0181,0.5562,0.0055,0.5619,0.0075
adult,56.3526,0.1024,56.5661,0.0973,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
ai4i,NaN,NaN,NaN,NaN,0.1515,0.0021,0.1385,0.0017,0.3230,0.0192,0.3106,0.0168
appliances,NaN,NaN,NaN,NaN,91.9354,0.0839,99.8920,0.1717,0.2026,0.0015,0.1697,0.0029
bank,89.8885,0.0381,90.1592,0.0879,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
bike,NaN,NaN,NaN,NaN,139.5186,0.0992,134.3030,0.1408,0.4181,0.0008,0.4145,0.0012
breast,97.7889,0.0940,96.5116,0.9729,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
car_evaluation,85.8065,0.7704,81.8462,0.7236,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
concrete,NaN,NaN,NaN,NaN,11.4477,0.5277,11.1850,0.6384,0.5313,0.0435,0.4936,0.0581
energy_efficiency,NaN,NaN,NaN,NaN,2.7675,0.0148,2.6827,0.0209,0.9246,0.0008,0.9265,0.0012
hearth,61.4151,0.3129,58.6957,0.6875,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
iris,96.3810,0.6317,100.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
mushrooms,99.3036,0.0070,99.1304,0.0328,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
obesity,NaN,NaN,NaN,NaN,1.2215,0.0136,1.3856,0.0071,0.6083,0.0088,0.5186,0.0049
popularity,NaN,NaN,NaN,NaN,10845.5053,7.0788,10568.5567,8.9347,0.0140,0.0013,0.0113,0.0017
realstate,NaN,NaN,NaN,NaN,11.8846,0.5759,12.2145,0.3425,0.2557,0.0763,0.1025,0.0519
student_dropout,80.2907,0.0938,76.8675,0.2719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
student_perf,NaN,NaN,NaN,NaN,2.1489,0.0223,2.8513,0.0415,0.3489,0.0135,0.1960,0.0237
wine,99.8387,0.1613,100.0000,0.0000,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
winequalityc,54.5678,0.5017,54.1333,0.4392,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
