Epoch,Val Accuracy
1,0.11416666666666667
2,0.7181666666666666
3,0.7428333333333333
4,0.8853333333333333
5,0.8855
6,0.8873333333333333
7,0.9096666666666666
8,0.918
9,0.9486666666666667
10,0.9493333333333334
11,0.9496666666666667
12,0.9605
13,0.961
14,0.961
15,0.965
16,0.9658333333333333
17,0.9686666666666667
18,0.968
19,0.9686666666666667
20,0.9751666666666666
21,0.9751666666666666
22,0.9756666666666667
23,0.9765
24,0.9766666666666667
25,0.9775
26,0.9773333333333334
27,0.9775
28,0.974
29,0.9741666666666666
30,0.9753333333333334
31,0.9768333333333333
32,0.9775
33,0.978
34,0.9781666666666666
35,0.9783333333333334
36,0.9748333333333333
37,0.974
38,0.9756666666666667
39,0.9763333333333334
40,0.977
41,0.9766666666666667
42,0.977
