Epoch,Val RMSE,Val Accuracy
1,1.4574706468392136,0.6898333430290222
2,1.6485562133405776,0.7888333201408386
3,1.785750610976524,0.8348333239555359
4,2.2754047910182065,0.8526666760444641
5,3.019924055821698,0.9281666278839111
6,3.8686284224403273,0.9359999895095825
7,4.621463032182969,0.9384999871253967
8,5.343124624713178,0.9391666650772095
9,6.413393472936464,0.9456666707992554
10,8.05347042977277,0.9473333358764648
11,9.688161357568513,0.9459999799728394
12,11.099968321939038,0.9458333253860474
13,11.509291010800675,0.9416666626930237
14,14.51157147521344,0.9416666626930237
15,18.681709183879015,0.9418333172798157
16,22.640254591802897,0.9399999976158142
17,20.62905093103668,0.9236666560173035
